iter	Passed	Remaining
522	1114	1016
523	1116	1013
524	1118	1011
525	1120	1009
526	1122	1007
527	1124	1004
528	1126	1002
529	1128	1000
530	1130	998
531	1132	996
532	1134	993
533	1136	991
534	1138	989
535	1140	987
536	1142	985
537	1144	983
538	1146	980
539	1148	978
540	1150	976
541	1152	974
542	1154	972
543	1156	969
544	1158	967
545	1160	965
546	1162	963
547	1164	960
548	1166	958
549	1168	956
550	1171	954
551	1173	952
552	1175	949
553	1177	947
554	1179	945
555	1181	943
556	1183	941
557	1185	938
558	1187	936
559	1189	934
560	1191	932
561	1193	930
562	1195	927
563	1197	926
564	1199	923
565	1202	921
566	1204	919
567	1206	917
568	1208	915
569	1210	912
570	1212	910
571	1214	908
572	1216	906
573	1218	904
574	1220	902
575	1222	900
576	1224	897
577	1226	895
578	1228	893
579	1230	891
580	1232	889
581	1234	886
582	1236	884
583	1238	882
584	1240	880
585	1242	878
586	1245	876
587	1247	873
588	1249	871
589	1251	869
590	1253	867
591	1255	865
592	1257	863
593	1259	860
594	1261	858
595	1263	856
596	1266	854
597	1268	852
598	1270	850
599	1271	847
600	1273	845
601	1275	843
602	1277	841
603	1279	839
604	1281	836
605	1283	834
606	1285	832
607	1288	830
608	1290	828
609	1292	826
610	1294	823
611	1296	821
612	1298	819
613	1300	817
614	1302	815
615	1304	813
616	1306	810
617	1308	808
618	1310	806
619	1313	804
620	1315	802
621	1316	800
622	1319	798
623	1321	796
624	1323	793
625	1325	791
626	1327	789
627	1329	787
628	1331	785
629	1333	783
630	1335	780
631	1337	778
632	1339	776
633	1341	774
634	1343	772
635	1345	769
636	1347	767
637	1349	765
638	1351	763
639	1353	761
640	1355	759
641	1357	757
642	1359	755
643	1361	752
644	1363	750
645	1365	748
646	1368	746
647	1370	744
648	1372	742
649	1374	739
650	1376	737
651	1378	735
652	1380	733
653	1382	731
654	1384	729
655	1386	727
656	1388	724
657	1391	723
658	1393	720
659	1395	718
660	1397	716
661	1399	714
662	1401	712
663	1403	710
664	1405	708
665	1407	706
666	1409	703
667	1411	701
668	1413	699
669	1415	697
670	1417	695
671	1419	693
672	1421	690
673	1424	688
674	1425	686
675	1427	684
676	1429	682
677	1431	679
678	1433	677
679	1435	675
680	1437	673
681	1439	671
682	1441	669
683	1443	666
684	1445	664
685	1447	662
686	1449	660
687	1451	658
688	1453	656
689	1455	653
690	1457	651
691	1459	649
692	1461	647
693	1463	645
694	1465	643
695	1467	640
696	1469	638
697	1471	636
698	1473	634
699	1475	632
700	1477	630
701	1479	628
702	1481	625
703	1483	623
704	1485	621
705	1487	619
706	1489	617
707	1492	615
708	1494	613
709	1496	611
710	1498	608
711	1500	606
712	1502	604
713	1503	602
714	1505	600
715	1508	598
716	1510	596
717	1512	594
718	1514	592
719	1516	589
720	1518	587
721	1520	585
722	1522	583
723	1524	581
724	1526	579
725	1528	576
726	1530	574
727	1532	572
728	1534	570
729	1536	568
730	1538	566
731	1540	564
732	1542	561
733	1544	559
734	1547	557
735	1549	555
736	1551	553
737	1553	551
738	1555	549
739	1557	547
740	1559	545
741	1561	543
742	1563	540
743	1565	538
744	1567	536
745	1569	534
746	1571	532
747	1573	530
748	1575	528
749	1577	525
750	1579	523
751	1581	521
752	1583	519
753	1585	517
754	1587	515
755	1590	513
756	1592	511
757	1594	508
758	1596	506
759	1598	504
760	1600	502
761	1602	500
762	1604	498
763	1606	496
764	1608	494
765	1610	491
766	1612	489
767	1614	487
768	1616	485
769	1618	483
770	1620	481
771	1623	479
772	1624	477
773	1626	475
774	1628	472
775	1630	470
776	1632	468
777	1634	466
778	1636	464
779	1639	462
780	1641	460
781	1643	458
782	1645	456
783	1647	453
784	1649	451
785	1651	449
786	1654	447
787	1656	445
788	1658	443
789	1660	441
790	1662	439
791	1663	437
792	1666	434
793	1668	432
794	1670	430
795	1672	428
796	1674	426
797	1676	424
798	1678	422
799	1680	420
800	1682	417
801	1684	415
802	1686	413
803	1688	411
804	1690	409
805	1692	407
806	1694	405
807	1696	403
808	1698	400
809	1700	398
810	1702	396
811	1704	394
812	1706	392
813	1708	390
814	1710	388
815	1712	386
816	1714	383
817	1716	381
818	1718	379
819	1720	377
820	1722	375
821	1724	373
822	1726	371
823	1728	369
824	1730	367
825	1733	365
826	1735	362
827	1737	360
828	1739	358
829	1741	356
830	1743	354
831	1745	352
832	1747	350
833	1749	348
834	1751	346
835	1753	343
836	1755	341
837	1757	339
838	1759	337
839	1761	335
840	1763	333
841	1765	331
842	1767	329
843	1769	327
844	1771	324
845	1774	322
846	1775	320
847	1778	318
848	1780	316
849	1782	314
850	1784	312
851	1786	310
852	1788	308
853	1790	306
854	1793	304
855	1795	302
856	1797	299
857	1799	297
858	1801	295
859	1803	293
860	1805	291
861	1807	289
862	1809	287
863	1812	285
864	1814	283
865	1816	281
866	1818	278
867	1820	276
868	1822	274
869	1825	272
870	1827	270
871	1829	268
872	1831	266
873	1833	264
874	1835	262
875	1837	260
876	1839	257
877	1841	255
878	1843	253
879	1845	251
880	1847	249
881	1849	247
882	1851	245
883	1853	243
884	1855	241
885	1857	239
886	1859	236
887	1861	234
888	1863	232
889	1865	230
890	1867	228
891	1870	226
892	1871	224
893	1873	222
894	1875	220
895	1877	217
896	1879	215
897	1881	213
898	1883	211
899	1886	209
900	1888	207
901	1890	205
902	1891	203
903	1893	201
904	1895	199
905	1898	196
906	1900	194
907	1902	192
908	1904	190
909	1906	188
910	1908	186
911	1910	184
912	1912	182
913	1914	180
914	1917	178
915	1919	175
916	1921	173
917	1922	171
918	1924	169
919	1926	167
920	1928	165
921	1930	163
922	1932	161
923	1934	159
924	1936	157
925	1939	154
926	1940	152
927	1942	150
928	1944	148
929	1947	146
930	1949	144
931	1951	142
932	1953	140
933	1955	138
934	1957	136
935	1960	134
936	1962	131
937	1964	129
938	1966	127
939	1968	125
940	1970	123
941	1972	121
942	1974	119
943	1976	117
944	1978	115
945	1980	113
946	1983	110
947	1985	108
948	1987	106
949	1989	104
950	1991	102
951	1992	100
952	1994	98
953	1996	96
954	1999	94
955	2000	92
956	2003	89
957	2005	87
958	2007	85
959	2009	83
960	2011	81
961	2013	79
962	2015	77
963	2017	75
964	2019	73
965	2021	71
966	2023	69
967	2025	66
968	2027	64
969	2030	62
970	2032	60
971	2034	58
972	2036	56
973	2038	54
974	2039	52
975	2042	50
976	2044	48
977	2046	46
978	2048	43
979	2050	41
980	2052	39
981	2054	37
982	2056	35
983	2058	33
984	2060	31
985	2062	29
986	2065	27
987	2066	25
988	2069	23
989	2070	20
990	2072	18
991	2074	16
992	2077	14
993	2079	12
994	2081	10
995	2083	8
996	2085	6
997	2087	4
998	2089	2
999	2091	0
