iter	Logloss
0	0.6774773292
1	0.6626637939
2	0.648281658
3	0.6350060404
4	0.6237047394
5	0.6117349154
6	0.6015434017
7	0.5922144228
8	0.5828080843
9	0.5740098171
10	0.5648281182
11	0.5569548764
12	0.5488403308
13	0.5420164513
14	0.5358498066
15	0.530137951
16	0.5238958726
17	0.5183287923
18	0.5129431592
19	0.5086333239
20	0.5032938292
21	0.4990302947
22	0.4945302933
23	0.4899225841
24	0.4859731689
25	0.4823695512
26	0.4790406492
27	0.4754777213
28	0.4721015955
29	0.4689213137
30	0.4656677072
31	0.4632029057
32	0.4605818186
33	0.4581641817
34	0.4561886038
35	0.4539654941
36	0.451407063
37	0.4495731515
38	0.4474812858
39	0.4455947202
40	0.443693538
41	0.4420934012
42	0.4401660477
43	0.4383994504
44	0.4367418368
45	0.4354611379
46	0.4339300294
47	0.4327098282
48	0.4312881764
49	0.4300470688
50	0.4288058224
51	0.4275451564
52	0.4263408358
53	0.4252222492
54	0.4240212556
55	0.4229357749
56	0.4220143285
57	0.4210644831
58	0.4200779117
59	0.4192358185
60	0.4183499549
61	0.4174826995
62	0.416492386
63	0.4156367661
64	0.4148709562
65	0.4142525015
66	0.4134087212
67	0.4126889562
68	0.4120676759
69	0.411392755
70	0.4108825601
71	0.4101487189
72	0.4095868792
73	0.4089974343
74	0.40833832
75	0.4077058867
76	0.4071044801
77	0.4064258767
78	0.4060712102
79	0.4054241214
80	0.404724132
81	0.404311649
82	0.4038257314
83	0.4032717855
84	0.402823161
85	0.4024197583
86	0.4020292017
87	0.4015770082
88	0.4011491642
89	0.400781745
90	0.4003165559
91	0.3999745072
92	0.3995799687
93	0.3993246439
94	0.3989858054
95	0.3986303629
96	0.3983454514
97	0.3979239943
98	0.397542044
99	0.3972013375
100	0.3969774596
101	0.3966166901
102	0.3963180305
103	0.3959764917
104	0.3957463688
105	0.3954863654
106	0.3951715352
107	0.3948161688
108	0.3945095097
109	0.3942044399
110	0.393948603
111	0.3935558303
112	0.3933034565
113	0.3929827892
114	0.3927448688
115	0.3925198282
116	0.3924486488
117	0.3922243684
118	0.3918757212
119	0.3916221883
120	0.3914450567
121	0.3910806202
122	0.3907678735
123	0.3904839582
124	0.3900873517
125	0.3897974022
